Relay URL,Latitude,Longitude
nostr-relay.nextblockvending.com,47.2343,-119.853
testnet-relay.samt.st,40.8302,-74.1299
nos.xmark.cc,50.6924,3.20113
relay.getsafebox.app,43.6532,-79.3832
relay.bao.network,49.4543,11.0746
relay.layer.systems,49.0291,8.35695
nostr.spicyz.io,43.6532,-79.3832
plebchain.club,43.6532,-79.3832
premium.primal.net,43.6532,-79.3832
reraw.pbla2fish.cc,43.6532,-79.3832
nstr.a0a1.space,52.3563,4.95714
nostr-relay-1.trustlessenterprise.com,43.6532,-79.3832
strfry.shock.network,39.0438,-77.4874
relay.gulugulu.moe,43.6532,-79.3832
nostr.vulpem.com,49.4543,11.0746
top.testrelay.top,43.6532,-79.3832
relay.evanverma.com,40.8302,-74.1299
ribo.eu.nostria.app,52.3676,4.90414
relay.agora.social,50.7383,15.0648
relay.primal.net,43.6532,-79.3832
wheat.happytavern.co,43.6532,-79.3832
nostr.calitabby.net,47.6743,-117.112
nostr.data.haus,50.4754,12.3683
nostr.ac,38.958,-77.3592
relay.anmore.me,49.281,-123.117
relay.lacompagniemaximus.com,45.3147,-73.8785
nostr.0cx.de,49.029,8.35695
relay.routstr.com,43.6532,-79.3832
testr.nymble.world,40.8054,-74.0241
relayone.geektank.ai,39.1008,-94.5811
nostr.tac.lol,47.4748,-122.273
wot.nostr.party,36.1627,-86.7816
nostr.mom,50.4754,12.3683
espelho.girino.org,43.6532,-79.3832
bucket.coracle.social,37.7775,-122.397
r.alphaama.com,60.1699,24.9384
nostr.faultables.net,43.6532,-79.3832
relay.wavlake.com,41.2619,-95.8608
relay.mitchelltribe.com,39.0438,-77.4874
nostr.chrissexton.org,43.6532,-79.3832
relay.wellorder.net,45.5201,-122.99
relay.guggero.org,46.0037,8.95105
relay.qstr.app,51.5072,-0.127586
nostr-relay.zimage.com,34.0549,-118.243
wot.sudocarlos.com,43.6532,-79.3832
nostriches.club,43.6532,-79.3832
relay.jabato.space,52.6907,4.8181
relay.nostrhub.fr,48.1045,11.6004
relay.binaryrobot.com,43.6532,-79.3832
relay.arx-ccn.com,50.4754,12.3683
strfry.elswa-dev.online,50.1109,8.68213
nostr.bitczat.pl,60.1699,24.9384
nostr.defucc.me,50.1109,8.68213
nostr.nodesmap.com,59.3327,18.0656
relay.btcforplebs.com,43.6532,-79.3832
relay.mostro.network,40.8302,-74.1299
nostr.girino.org,43.6532,-79.3832
relay.sigit.io,50.4754,12.3683
relay.nostr.wirednet.jp,34.706,135.493
nostr.robosats.org,64.1476,-21.9392
relay.nostrzh.org,43.6532,-79.3832
nostr-rs-relay.dev.fedibtc.com,39.0438,-77.4874
spookstr2.nostr1.com,38.6327,-90.1961
nostr.azzamo.net,52.2633,21.0283
relay.klabo.world,47.674,-122.122
bitchat.nostr1.com,38.6327,-90.1961
relay.nostr-check.me,43.6532,-79.3832
orly.musiquay.org,43.6532,-79.3832
relay.degmods.com,50.4754,12.3683
relay.vantis.ninja,43.6532,-79.3832
relay-freeharmonypeople.space,38.7223,-9.13934
herbstmeister.com,43.6532,-79.3832
relay-rpi.edufeed.org,49.4521,11.0767
nostr.zoracle.org,45.6018,-121.185
relay.nostriches.club,43.6532,-79.3832
r.0kb.io,32.789,-96.7989
relay.nostrverse.net,43.6532,-79.3832
nostr.pbfs.io,50.4754,12.3683
relay.fundstr.me,42.3601,-71.0589
nostr.notribe.net,40.8302,-74.1299
librerelay.aaroniumii.com,43.6532,-79.3832
nostr.ps1829.com,33.8851,130.883
relay.staging.commonshub.brussels,49.4543,11.0746
nostr.bitcoiner.social,47.6743,-117.112
relay.puresignal.news,43.6532,-79.3832
relay.purplefrog.cloud,35.6916,139.768
nrs-02.darkcloudarcade.com,39.9526,-75.1652
nostr.islandarea.net,35.4669,-97.6473
relay.damus.io,43.6532,-79.3832
nostr.2b9t.xyz,34.0549,-118.243
relay.nuts.cash,39.7392,-104.99
public.crostr.com,43.6532,-79.3832
nostr.aruku.ovh,1.27994,103.849
relay.minibolt.info,43.6532,-79.3832
relay.zone667.com,60.1699,24.9384
relay.satnam.pub,43.6532,-79.3832
nostr.mifen.me,43.6532,-79.3832
relay.satmaxt.xyz,43.6532,-79.3832
relay.spacetomatoes.net,42.3601,-71.0589
nrs-01.darkcloudarcade.com,39.1008,-94.5811
relayone.soundhsa.com,39.1008,-94.5811
r.bitcoinhold.net,43.6532,-79.3832
wot.nostr.net,43.6532,-79.3832
